time,External_Reactivity,Power,Power_Delta,Power_Normalized,Total_Reactivity,Total_Reactivity_Dollars,Total_Reactivity_Feedback,ch2_Coolant_Density_Reactivity,dnp_den,fml1_diff_flux,fml2_diff_flux,fml3_diff_flux,fml4_diff_flux,fml5_diff_flux,fml6_diff_flux,mdot,moderator_moderator_Reactivity
3.4,0.00019,5689476.3254827,0.6894763254827,1.1378952650965,0.00014325405211376,-0.017141616777203,-4.6745947886243e-05,-4.636149026277e-05,23.600150529094,0.19117214604545,0.64181708659079,0.38117437331123,0.15737421982689,0.003393021167812,0.00089255473571828,170.94549606296,-3.8445762347294e-07
3.5,0.00019,5692277.6502744,0.69227765027444,1.1384555300549,0.00014177301140366,-0.017706798441759,-4.8226988596335e-05,-4.7818467059646e-05,23.607940401103,0.19125794036695,0.64209222871175,0.38134592177882,0.15748861133351,0.003396729306729,0.00089312133595135,170.94544576232,-4.0852153668919e-07
3.6,0.00019,5694969.007269,0.69496900726902,1.1389938014538,0.00014030402182144,-0.018267798710733,-4.9695978178561e-05,-4.9262699481911e-05,23.615654271972,0.19134479898199,0.64237024957954,0.3815169892959,0.15760033299542,0.0034002072444273,0.00089366050114209,170.94540307975,-4.3327869665016e-07
3.7,0.00019,5697557.0915425,0.69755709154253,1.1395114183085,0.00013884805742023,-0.018824234158546,-5.115194257977e-05,-5.0693221678499e-05,23.623287177832,0.19143379613559,0.64265452473991,0.38168936329282,0.15771031616567,0.0034034780595785,0.00089417442955747,170.9453680892,-4.5872090127103e-07
3.8,0.00019,5700048.3154155,0.70004831541554,1.1400096630831,0.00013740605100273,-0.019375735825671,-5.2593948997266e-05,-5.2109109485776e-05,23.630834392659,0.1915261701675,0.64294893854428,0.38186507472585,0.157819586645,0.0034065634645766,0.00089466508966967,170.94534076507,-4.8483951149009e-07
3.9,0.00019,5702448.810392,0.70244881039195,1.1404897620784,0.0001359788912538,-0.019921950377752,-5.4021108746201e-05,-5.3509483271097e-05,23.638291442944,0.19162330661772,0.64325782822753,0.38204636166986,0.15792924192755,0.003409483688686,0.00089513425373004,170.94532099025,-5.1162547510392e-07
4,0.00019,5704764.4264389,0.70476442643891,1.1409528852878,0.00013456742019229,-0.020462541191743,-5.543257980771e-05,-5.4893510456622e-05,23.645654119916,0.19172671621121,0.64358591164043,0.3822356250357,0.15804042564366,0.0034122573825466,0.00089558352574288,170.9453085654,-5.3906935108816e-07
4.1,0.00019,5707000.7297959,0.70700072979591,1.1414001459592,0.00013317243104965,-0.020997189321102,-5.6827568950354e-05,-5.6260407615527e-05,23.652918489687,0.19183800831403,0.64393820108482,0.38243537809779,0.15815430021327,0.0034149015480297,0.00089601436454156,170.94530322188,-5.6716133482737e-07
4.2,0.00019,5709163.0003607,0.70916300036075,1.1418326000721,0.00013179466648062,-0.021525594299377,-5.8205333519377e-05,-5.7609442234485e-05,23.660080900843,0.19195886075353,0.64431990635594,0.38264819172172,0.15827201875435,0.0034174314959895,0.00089642810264348,170.94530463295,-5.9589128489218e-07
4.3,0.00019,5711256.2293795,0.7112562293795,1.1422512458759,0.00013043481728912,-0.022047474817946,-5.9565182710879e-05,-5.8939933961333e-05,23.667137990107,0.19209098740659,0.64473633122115,0.38287663760895,0.15839469742136,0.0034198608353104,0.00089682596178137,170.94531242927,-6.2524874954589e-07
4.4,0.00019,5713285.1181744,0.71328511817444,1.1426570236349,0.00012909352164966,-0.022562569208666,-6.0906478350338e-05,-6.0251255356025e-05,23.674086685164,0.19223610483695,0.64519276746731,0.38312323180387,0.15852338923515,0.0034222014935392,0.00089720906570659,170.94532621321,-6.552229943127e-07
4.5,0.00019,5715254.0784276,0.71525407842758,1.1430508156855,0.00012777136475867,-0.023070635738764,-6.2228635241329e-05,-6.1542832212214e-05,23.680924204737,0.1923958992395,0.64569439063074,0.38339038061153,0.15865906033419,0.0034244637662299,0.00089757845052983,170.94534557232,-6.8580302911569e-07
4.6,0.00019,5717167.2343144,0.71716723431444,1.1434334468629,0.00012646887900117,-0.023571452742928,-6.3531120998835e-05,-6.2814143363177e-05,23.687648056082,0.19257199513314,0.64624616177839,0.38368033112108,0.15880256956911,0.0034266563949663,0.00089793507337104,170.94537009369,-7.1697763565776e-07
4.7,0.00019,5719028.4267429,0.71902842674293,1.1438056853486,0.0001251865445122,-0.024064818560165,-6.4813455487804e-05,-6.4064720093737e-05,23.694256031128,0.19276592703939,0.64685273908236,0.38399512807928,0.15895465205362,0.003428786668768,0.0008982798195277,170.94539937512,-7.4873539406689e-07
4.8,0.00019,5720841.2197133,0.72084121971326,1.1441682439427,0.00012392479018008,-0.024550551321138,-6.6075209819917e-05,-6.5294145110806e-05,23.700746199174,0.19297911501177,0.64751840203494,0.38433657847392,0.15911590711774,0.0034308605451981,0.00089861350850104,170.94543303574,-7.8106470911138e-07
4.9,0.00019,5722608.9087821,0.7226089087821,1.1445217817564,0.00012268399492181,-0.02502848856815,-6.7316005078193e-05,-6.6502051242423e-05,23.707116899407,0.19321284479066,0.64824699069652,0.38470622483118,0.15928679088385,0.00343288278534,0.00089893689905382,170.94547072335,-8.139538357696e-07
5,0.00019,5724334.5313849,0.72433453138487,1.144866906277,0.00012146448922957,-0.025498486772043,-6.8535510770427e-05,-6.7688119866738e-05,23.713366731323,0.19346825304108,0.64904186126619,0.38510532766295,0.1594676134498,0.0034348570982293,0.00089925069360397,170.94551212064,-8.4739090368963e-07
5.1,0.00019,5726020.8787577,0.72602087875774,1.1452041757515,0.00012026655692097,-0.025960420746374,-6.9733443079027e-05,-6.8852079138149e-05,23.719494543646,0.1937463179574,0.64990585854108,0.38553485706598,0.15965854045285,0.0034367862897387,0.00089955554215901,170.94555694798,-8.8136394087862e-07
5.2,0.00019,5727670.5091334,0.72767050913338,1.1455341018267,0.00011909043699909,-0.02641418298448,-7.0909563000911e-05,-6.9993702104643e-05,23.725499424365,0.19404785499618,0.65084130477002,0.38599549306211,0.15985959862361,0.0034386724107131,0.00089985204584454,170.94560496445,-9.1586089626811e-07
5.3,0.00019,5729285.7618168,0.72928576181684,1.1458571523634,0.00011793632558574,-0.02685968295489,-7.2063674414258e-05,-7.1112804753082e-05,23.731380688468,0.19437351729577,0.65185000330415,0.38648763363426,0.16007068467599,0.0034405168992991,0.00090014076002019,170.9456559677,-9.5086966117597e-07
5.4,0.00019,5730868.7717631,0.7308687717631,1.1461737543526,0.00011680437779149,-0.027296846369037,-7.3195622208512e-05,-7.2209244118604e-05,23.737137867878,0.19472380038746,0.65293325568717,0.38701140957892,0.16029157699642,0.0034423207156528,0.0009004221973267,170.94570978986,-9.8637808990804e-07
5.5,0.00019,5732421.4842048,0.73242148420481,1.146484296841,0.00011569470957832,-0.027725614472921,-7.4305290421676e-05,-7.3282916402517e-05,23.742770699576,0.19509905027975,0.65409188922193,0.38756670451529,0.16052194926515,0.0034440844644576,0.00090069683046395,170.94576629408,-1.0223740191592e-06
5.6,0.00019,5733945.6690308,0.73394566903081,1.1467891338062,0.00011460739948347,-0.028145943341544,-7.5392600516533e-05,-7.4333755229916e-05,23.748279116051,0.19549947405868,0.65532629262894,0.38815317878785,0.16076138536245,0.0034458085035722,0.0009009650947748,170.94582536942,-1.0588452866167e-06
5.7,0.00019,5735442.934551,0.73544293455096,1.1470885869102,0.0001135424902332,-0.028557803225959,-7.64575097668e-05,-7.5361730018264e-05,23.753663236356,0.19592515241656,0.65663645731813,0.38877029579547,0.16100939485114,0.0034474930384244,0.00090122739080882,170.94588692536,-1.0957797485361e-06
5.8,0.00019,5736914.7404066,0.73691474040663,1.1473829480813,0.00011249999018111,-0.02896117794197,-7.750000981889e-05,-7.6366844522058e-05,23.758923356265,0.19637605278601,0.65802202074307,0.38941734905208,0.16126542826905,0.0034491381998526,0.00090148408657115,170.94595088598,-1.1331652968322e-06
5.9,0.00019,5738362.4094028,0.73836240940283,1.1476724818806,0.00011147987460307,-0.029356064325337,-7.8520125396934e-05,-7.7349135521931e-05,23.764059941595,0.19685204292515,0.65948231076256,0.39009348925458,0.16152889189128,0.0034507441078085,0.00090173551983969,170.94601718405,-1.1709898750031e-06
6,0.00019,5739787.1381428,0.73978713814283,1.1479574276286,0.00011048208682414,-0.029742471741263,-7.9517913175856e-05,-7.8308671681959e-05,23.769073621123,0.19735290381605,0.66101638790183,0.39079774989091,0.16179916133943,0.0034523109194201,0.00090198200018147,170.94608575611,-1.2092414938963e-06
6.1,0.00019,5741190.0063837,0.7411900063837,1.1482380012767,0.00010950653920938,-0.030120421657521,-8.0493460790622e-05,-7.9245552543961e-05,23.773965180282,0.1978783415738,0.66262308436047,0.39152907077355,0.16207559380224,0.0034538388640198,0.00090222381089527,170.94615653734,-1.2479082466613e-06
6.2,0.00019,5742571.9851152,0.74257198511517,1.148514397023,0.00010855311401005,-0.030489947269175,-8.1446885989947e-05,-8.0159907666577e-05,23.778735555714,0.19842799793928,0.66430103854686,0.39228631890914,0.162357538636,0.0034553282654713,0.00090246121070591,170.94622945847,-1.2869783233699e-06
6.3,0.00019,5743933.9433874,0.74393394338745,1.1487867886775,0.00010762166412193,-0.03085109317801,-8.2378335878069e-05,-8.1051895852946e-05,23.783385831344,0.19900145946996,0.66604872512556,0.39306830663956,0.16264434636211,0.0034567795553883,0.00090269443549452,170.94630444241,-1.3264400251234e-06
6.4,0.00019,5745276.6539936,0.74527665399362,1.1490553307987,0.00010671201375704,-0.031203915105329,-8.3287986242964e-05,-8.1921704465082e-05,23.787917232927,0.199598264672,0.66786447885489,0.39387380638907,0.16293537583778,0.0034581932763197,0.00090292369966184,170.94638140244,-1.3662817778815e-06
6.5,0.00019,5746600.7981194,0.74660079811943,1.1493201596239,0.0001058239590713,-0.031548479637486,-8.4176040928696e-05,-8.276954878278e-05,23.792331124621,0.20021790975435,0.66974651387897,0.39470156273586,0.1632299999304,0.003459570078856,0.0009031491974686,170.94646024099,-1.4064921459167e-06
6.6,0.00019,5747906.9691108,0.74790696911076,1.1495813938222,0.00010495726877304,-0.031884863988143,-8.5042731226961e-05,-8.3595671382053e-05,23.796629005247,0.20085985283538,0.67169293807934,0.39555030169666,0.16352760970651,0.003460910713279,0.00090337110419182,170.94654084997,-1.4470598449084e-06
6.7,0.00019,5749195.6755166,0.74919567551657,1.1498391351033,0.000104111684737,-0.032213155767788,-8.5888315263002e-05,-8.4400341508195e-05,23.800812502917,0.20152351654885,0.67370176240477,0.39641873727877,0.16382761723217,0.0034622160171866,0.00090358957709802,170.94662311075,-1.4879737548074e-06
6.8,0.00019,5750467.3435725,0.75046734357249,1.1500934687145,0.00010328692266301,-0.032533452751137,-8.6713077336986e-05,-8.5183854404924e-05,23.804883372918,0.20220829000643,0.67577090809096,0.39730557663807,0.16412945751853,0.0034634869015356,0.00090380475642844,170.94670689621,-1.5292229320618e-06
6.9,0.00019,5751722.3192912,0.75172231929115,1.1503444638582,0.00010248267278358,-0.032845862627646,-8.7517327216416e-05,-8.5946530594516e-05,23.808843492589,0.20291352951143,0.67789820992938,0.39820952310904,0.16443258942362,0.0034647243348293,0.0009040167661747,170.94679207221,-1.5707966218997e-06
7,0.00019,5752960.8703032,0.75296087030317,1.1505921740606,0.00010169860064744,-0.033150502733491,-8.8301399352557e-05,-8.6688715082661e-05,23.81269485604,0.20363855858998,0.6800814174008,0.39912927798933,0.16473649588307,0.0034659293267672,0.00090422571472263,170.94687850025,-1.6126842698957e-06
7.1,0.00019,5754183.1875889,0.75418318758892,1.1508366375178,0.00010093434801413,-0.033447499754756,-8.9065651985867e-05,-8.7410776452912e-05,23.816439568509,0.20438266760541,0.68231819442075,0.40006354146133,0.16504068366583,0.0034671029126719,0.00090443169548609,170.94696604031,-1.6548755329554e-06
7.2,0.00019,5755389.3872423,0.75538938724233,1.1510778774485,0.00010018953386093,-0.033736989388586,-8.9810466139068e-05,-8.811310584883e-05,23.820079842653,0.20514511364169,0.68460611978662,0.40101101357423,0.16534468299847,0.0034682461394431,0.00090463478759653,170.94705455394,-1.697360290237e-06
7.3,0.00019,5756579.5123671,0.75657951236712,1.1513159024734,9.9463755503519e-05,-0.034019115961768,-9.0536244496481e-05,-8.8796115843559e-05,23.82361799078,0.20592511963701,0.68694268541252,0.40197039413361,0.16564804672193,0.0034693600515059,0.00090483505631529,170.94714390732,-1.7401286529217e-06
7.4,0.00019,5757753.5351891,0.75775353518907,1.1515507070378,9.8756589864368e-05,-0.034294032006243,-9.1243410135632e-05,-8.9460239161898e-05,23.827056417454,0.20672187383735,0.68932529535374,0.40294038277382,0.1659503494474,0.003470445678971,0.00090503255353792,170.9472339747,-1.7831709737334e-06
7.5,0.00019,5758911.3594767,0.75891135947674,1.1517822718953,9.8067594878255e-05,-0.034561897778648,-9.1932405121745e-05,-9.0105927266215e-05,23.830397612687,0.20753452968423,0.69175126616605,0.40391967946945,0.16625118680106,0.0034715040274487,0.00090522731830141,170.94732464172,-1.8264778555294e-06
