time,Tfluid_core,Tfuel_avg,Tfuel_max,Tmod_avg,Tmod_max,Tsolid_core,UnscaledTotalPower,decay_power,dt,dt_max_pp,init_prompt_power,max_T_solid,power_peak,power_scaling,prompt_power,total_power
48.86247088741,663.42537288959,883.6650697753,1117.4500928261,883.63679523607,1117.4425368134,672.75211880741,1.1984882199606e-10,8321550.7124935,1.8589411908568,1.9528464675083,233935000,1117.4172914281,0.072534044920521,1.9519173914591e+18,516748.18865066,8838298.9011441
50.815317354918,663.42530432165,883.66456187458,1117.4499124971,883.63628948737,1117.4423565607,672.75200171925,1.1984882199606e-10,8284804.092845,1.9528464675083,2.0514954127742,233935000,1117.4171178311,0.071889930889011,1.9519173914591e+18,487628.69065731,8772432.7835023
52.866812767692,663.61817819054,883.89597044406,1117.5125080529,883.87084243957,1117.5057975017,672.81884768417,1.1984882199606e-10,8171534.0360096,2.0514954127742,2.1551276552752,233935000,1117.4833413807,0.070642132366744,1.9519173914591e+18,459146.11709114,8630680.1531008
55.021940422967,663.6181011087,883.8954168432,1117.5123119207,883.87029090588,1117.505601444,672.81871977106,1.1984882199606e-10,8135065.2267556,2.1551276552752,2.2639949285829,233935000,1117.4831522085,0.070019343909222,1.9519173914591e+18,431630.55827686,8566695.7850324
57.28593535155,663.82218533679,884.14542014213,1117.5794947668,884.12326338131,1117.5735817555,672.89090493581,1.1984882199606e-10,8022269.8860523,2.2639949285829,2.3783616827072,233935000,1117.5537528939,0.068794429900189,1.9519173914591e+18,404762.82754348,8427032.7135958
59.664297034257,663.82209791456,884.1448125749,1117.5792798796,884.12265778437,1117.5733669404,672.89076414841,1.1984882199606e-10,7985830.8731888,2.3783616827072,2.4985057264728,233935000,1117.5535451382,0.068191374511641,1.9519173914591e+18,378876.92197328,8364707.7951621
62.16280276073,664.03684282024,884.41475323797,1117.6513051989,884.39538867013,1117.6461409811,672.9687011674,1.1984882199606e-10,7872831.7441168,2.4985057264728,2.6247189023462,233935000,1117.6287742208,0.066984643768603,1.9519173914591e+18,353667.55363641,8226499.2977532
64.787521663076,664.03674289371,884.41408219688,1117.6510681857,884.39471949042,1117.6459040373,672.96854526391,1.1984882199606e-10,7836238.0292869,2.6247189023462,2.7573077953513,233935000,1117.6285445968,0.066400603797778,1.9519173914591e+18,329468.59502971,8165706.6243166
67.544829458427,664.26152816237,884.70536753038,1117.7281968682,884.68860906,1117.7237309568,673.0526679561,1.1984882199606e-10,7722585.040388,2.7573077953513,2.8965944777969,233935000,1117.7086553599,0.065209480269334,1.9519173914591e+18,305989.19765222,8028574.2380402
70.441423936224,664.26141407681,884.70462359024,1117.727934351,884.68786686106,1117.7234685055,673.0524947911,1.1984882199606e-10,7685734.5383118,2.8965944777969,3.0429172916237,233935000,1117.7084006542,0.064644661186667,1.9519173914591e+18,283557.63179585,7969292.1701076
