time,ext_side_integral,flux_uo_avg,fuel_temp_avg,fuel_temp_max,fuel_temp_min,heatpipe_surface_temp_avg,hp_end_heat_integral,hp_heat_integral,mirror_side_integral,mod_temp_avg,mod_temp_max,mod_temp_min,monolith_temp_avg,monolith_temp_max,monolith_temp_min,power,tb_integral,total_sink
58,192.46415471258,5877.6009979179,874.02787909948,897.43036640463,845.09827811072,868.57429656625,-888.34348583226,156858.02266752,-7438.3176078791,873.62437644318,894.78996361518,849.48408927564,871.60952275932,896.24528868606,842.80870780687,173077.01462604,2929.9446279778,151653.7703565
59,193.04155239871,5784.6076494213,874.21618029773,897.52909809322,845.22504869006,868.81358626561,-891.11667329669,154695.90456808,-7573.277247091,873.82270377235,894.92037285716,849.62198668905,871.82264824056,896.35662056305,842.94438400231,170956.22289688,2960.1998400084,149384.7520401
60,193.59597429672,5693.2675292322,874.39721759206,897.62029544463,845.34664813373,869.04492103173,-893.7957319074,152571.16390578,-7704.8907341181,874.01348032894,895.04270960418,849.75426572676,872.02821297095,896.4602491521,843.07485142577,168871.17428482,2989.6587030917,147155.73211714
61,194.1278883743,5603.5509662964,874.57113590179,897.7041417921,845.46318166531,869.26845410617,-896.38253405712,150483.13812846,-7833.2333456855,874.19685913405,895.15716639918,849.88104078963,872.22636371108,896.55636000271,843.20021457038,166821.24000529,3018.3353402496,144965.98547735
62,194.6377530294,5515.4285867148,874.73807686583,897.7808153861,845.57475233348,869.48433557094,-898.87890965683,148431.17071248,-7958.3786623376,874.3729897322,895.26393065196,850.00242388867,872.41724407736,896.6451335818,843.32057584689,164805.79651786,3046.2437037184,142814.79459723
63,195.12601732931,5428.8713428731,874.89817895562,897.85048959529,845.68146106954,869.69271243546,-901.28664749798,146414.61186024,-8080.3985960063,874.54201830564,895.36318482749,850.11852471297,872.60099464061,896.72674547024,843.43603563223,162824.22624821,3073.397569864,140701.45020393
64,195.59312127599,5343.8505413085,875.05157759027,897.91333311604,845.78340674941,869.89372872525,-903.60749664366,144432.81919848,-8199.3634090396,874.70408779036,895.45510664243,850.22945069517,872.77775302669,896.8013665681,843.54669232419,160875.9183085,3099.8105356196,138625.25194969
65,196.03949603914,5260.3378635492,875.19840523914,897.96951015351,845.88068624798,870.0875255631,-905.84316763539,142485.1583073,-8315.3417395112,874.85933798042,895.53986923649,850.33530707525,872.94765400687,896.86916327251,843.6526423897,158960.26904897,3125.496015534,136585.50891173
66,196.46556415413,5178.3053798879,875.33879151236,898.01918058511,845.97339449251,870.27424124213,-907.99533364511,140571.00307832,-8428.4006236355,875.007905621,895.61764132807,850.43619695932,873.11082957815,896.93029763849,843.75398041076,157076.68244901,3150.4672392221,134581.53992441
67,196.87173978709,5097.7255741953,875.47286327064,898.06250015333,846.06162451959,870.45401131283,-910.06563177608,138689.73632625,-8538.605520274,875.14992451946,895.68858739608,850.53222138185,873.26740906024,896.98492756791,843.85079913574,155224.57073475,3174.7372483093,132612.67416229
68,197.25842890144,5018.5713481048,875.60074470052,898.09962059301,846.1454675151,870.62696864661,-912.05566392674,136840.74994438,-8646.0203454725,875.28552562427,895.75286780393,850.6234793526,873.41751916326,897.03320693569,843.9431895139,153403.35456062,3198.3188977507,130678.25126164
69,197.62609155588,4940.8328379015,875.72259205948,898.13074530951,846.2250262215,870.79326820683,-913.96726196034,135023.85987778,-8750.7019058683,875.41486940656,895.81068791101,850.71008288867,873.56131405194,897.07533872324,844.03125186631,151612.88538452,3221.2240637789,128778.04086528
70,197.97494465188,4864.4352507889,875.83842663682,898.15586158233,846.30035074943,870.95296847402,-915.80121884351,133237.2791847,-8852.7271025998,875.53799043257,895.86206233199,850.79208499122,873.69883109117,897.1113196423,844.11504257147,149851.38271818,3243.4675171428,126910.19332505
71,198.3055769052,4789.4120000376,875.94848269359,898.17529831814,846.37157197782,871.10627768237,-917.55992913432,131481.88871534,-8952.1365221569,875.65512077782,895.90730518812,850.86962944557,873.83029084727,897.14147174492,844.19468462561,148119.77998962,3265.0587729203,125075.55661388
72,198.6182188238,4715.6958169991,876.05279199194,898.18906029892,846.43874200202,871.25326055591,-919.24423025215,129756.08620478,-9049.0019666047,875.76630421931,895.94644569233,850.9427715194,873.95573934402,897.16580816535,844.27023563326,146416.48308338,3286.0119147301,123272.47014147
73,198.91328940708,4643.2767380354,876.1514950484,898.19732782014,846.50195558669,871.39405748047,-920.85579381858,128059.67687398,-9143.3740501539,875.87168503031,895.9796663908,851.01161451617,874.07531575385,897.1845089795,844.34178817069,144741.32969339,3306.3380907681,121500.69841018
74,199.19114702599,4572.1297878963,876.24470068179,898.20022959972,846.56129289236,871.52878597447,-922.3960183336,126392.09905831,-9235.308706116,875.97137782138,896.00710408291,851.07624537728,874.18913178406,897.19770497659,844.40942253119,143093.78311704,3326.0490619466,119759.63454283
75,199.45214490516,4502.2308431522,876.3325162165,898.19789253687,846.61683315482,871.65756176452,-923.86628262752,124752.81004663,-9324.8599905366,876.0654954911,896.02889347182,851.1367500523,874.29729756492,897.20552504084,844.47321799568,141473.32531026,3345.1563656426,118048.69228401
76,199.69663004365,4433.5563497502,876.4150471039,898.19044094438,846.66865429095,871.78049855662,-925.26794085071,123141.27985372,-9412.0805243437,876.15414889069,896.04516649617,851.19321305937,874.39992133586,897.20809542401,844.53325251733,139879.4505319,3363.6713448036,116367.29936337
77,199.92494287097,4366.0832125391,876.49239676439,898.17799625767,846.71683277126,871.89770793484,-926.60232060898,121556.98870116,-9497.0216327971,876.23744668422,896.05605207938,851.24571734137,874.4971093119,897.20553947037,844.58960261805,138311.66276484,3381.6051572875,114714.89484791
78,200.13741730808,4299.7887766161,876.56466660375,898.16067705137,846.76144361838,872.00929938199,-927.87072304973,119999.42660963,-9579.7333902266,876.31549537074,896.06167615213,851.2943442637,874.58896570053,897.19797763567,844.64234339035,136769.47530894,3398.9687781772,113090.92869184
79,200.33438088086,4234.6508162106,876.63195604912,898.13859909406,846.80256042495,872.11538031599,-929.07442328803,118468.09315498,-9660.2646614548,876.38839932488,896.06216171008,851.33917363451,874.67559273642,897.18552754287,844.69154851438,135252.41054582,3415.7730014165,111494.86145254
80,200.51615487872,4170.6475374387,876.69436261321,898.11187545513,846.84025539103,872.21605614666,-930.21467116915,116962.49755207,-9738.6631288257,876.45626086361,896.05762891798,851.3802837456,874.7570907404,897.16830408789,844.73729029299,133760.0000467,3432.0284415032,109926.16434846
81,200.68305448995,4107.7575732234,876.75198194009,898.08061657933,846.87459935082,872.3114303196,-931.2926918533,115482.15855756,-9814.9753218581,876.51918029596,896.04819518587,851.41775140258,874.83355816294,897.14641951464,844.77963967674,132291.7844625,3447.7455355834,108384.31913392
82,200.83538893266,4045.9599785786,876.80490785392,898.04493036844,846.90566180355,872.4016043619,-932.30968644831,114026.60437701,-9889.2466475411,876.57725597501,896.03397525059,851.4516519586,874.90509162985,897.11998349634,844.81866629297,130847.31345998,3462.9345452583,106868.81797721
83,200.97346157267,3985.2342216721,876.85323239574,898.00492224331,846.93351093905,872.48667791936,-933.26683256348,112595.37245931,-9961.5214168451,876.6305843389,896.01508124044,851.48205934266,874.97178597783,897.08910319851,844.85443847113,129426.1455289,3477.6055587858,105379.16323026
84,201.0975700551,3925.5601831337,876.89704587481,897.96069522827,846.9582136702,872.56674880367,-934.16528496921,111188.00949418,-10031.842873862,876.67925996489,895.99162275888,851.50854914061,875.03373430241,897.0538833628,844.88702327336,128027.84798186,3491.7684931008,103914.8673985
85,201.20800642468,3866.9181481714,876.93643690715,897.91235001445,846.97983565734,872.64191303057,-935.00617610864,109804.0712485,-10100.253220827,876.7233756116,895.96370694976,851.53130232191,875.09102799491,897.0144263708,844.91648651743,126651.99680422,3505.4330957858,102475.45295377
86,201.30505724553,3809.2888024731,876.97149245891,897.8599850304,846.99844133686,872.71226486123,-935.79061667286,108443.12248128,-10166.793644391,876.76302226541,895.93143856857,851.55079217373,875.14375678356,896.97083231466,844.94289280458,125298.17657666,3518.6089472098,101060.45222467
87,201.38900370863,3752.6532242481,877.00229788166,897.80369650007,847.01409394521,872.77789683794,-936.51969610636,107104.73676482,-10231.504342028,876.79828917936,895.89492004257,851.56708699724,875.19200876764,896.92319905567,844.9663055423,123965.98030879,3531.3054628683,99669.407193264
88,201.46012174025,3696.9928763632,877.02893694699,897.74357849875,847.02685554229,872.83889981894,-937.19448307868,105788.49631284,-10294.424548142,876.82926391109,895.85425152873,851.58025381858,875.2358704509,896.87162228063,844.98678696735,122655.00927861,3543.5318958147,98301.869299171
89,201.5186821117,3642.289601277,877.05149188482,897.67972301504,847.03678703653,872.89536301597,-937.81602599463,104493.99187363,-10355.592558806,876.8560323643,895.80953097693,851.59035841658,875.27542677831,896.81619556406,845.00439816973,121364.87293089,3555.2973387705,96957.399309714
90,201.56495054798,3588.5256150248,877.07004341932,897.612220009,847.04394820934,872.94737402961,-938.38535347918,103220.82259885,-10415.045755628,876.87867882752,895.76085418946,851.59746534958,875.31076117044,896.75701042653,845.01919911654,120095.18875305,3566.6107264782,95635.567166766
91,201.59918782075,3535.6834983891,877.08467079865,897.54115745945,847.04839773575,872.99501888059,-938.9034747999,101968.5958463,-10472.820631142,876.89728600735,895.708314871,851.6016379782,875.34195555283,896.69415638268,845.03124867205,118845.58208979,3577.4808381958,94335.951766372
92,201.62164985094,3483.7461907188,877.09545182836,897.46662141733,847.05019320718,873.03838204309,-939.37138032008,100736.92704397,-10528.952811584,876.91193506469,895.65200468353,851.60293849032,875.36909038819,896.62772099492,845.04060461979,117615.68601407,3587.9162999118,93058.140801827
93,201.63258781067,3432.6969844934,877.10246290557,897.38869606038,847.04939115411,873.0775464787,-939.79004194908,99525.439573998,-10583.477079223,876.92270565167,895.59201330239,851.60142792592,875.39224470937,896.55778992827,845.04732368455,116405.14121829,3597.925586714,91801.730627351
94,201.63221055796,3382.5117916998,877.10576341714,897.30743038377,847.04603744943,873.11258270767,-940.16026104457,98333.581073576,-10636.435576772,876.92966139424,895.52839867843,851.59715556507,875.41148260367,896.48441506751,845.05145348441,115213.40834277,3607.5175651331,90566.13501145
95,201.62084802792,3333.1926215288,877.10546241288,897.22298482109,847.04020910455,873.14359530404,-940.48332345398,97161.417390638,-10687.841050886,876.9329118577,895.46131782596,851.59020507923,875.42691087,896.40775480648,845.0530675165,114040.57922946,3616.6991353729,89351.412999699
96,201.59869076216,3284.7165359153,877.10161913002,897.13539013362,847.03194710994,873.17065423366,-940.75998658034,96008.429402751,-10737.741721623,876.93252031249,895.3908118252,851.58062081918,875.43859320411,896.32784342798,845.05220901005,112886.14677678,3625.4790101377,88157.005395447
97,201.56593550884,3237.054123228,877.09427643875,897.04470202937,847.02129560469,873.19381643775,-940.99095071137,94873.923273578,-10786.166382813,876.92853444533,895.31694439281,851.56844929957,875.44657888446,896.24473910284,845.0489238795,111749.42741283,3633.8656346905,86982.197510253
98,201.52291731545,3190.2219582808,877.08356690127,896.95107486827,847.00833205659,873.21320237541,-941.17761114647,93758.331054308,-10833.138229067,876.92108521425,895.23986525892,851.55377619395,875.45099436556,896.15859389265,845.0432852233,110630.88314486,3641.865218541,85827.403349951
99,201.46974099852,3144.1709814055,877.06949216108,896.85448836721,846.99307733911,873.22883940238,-941.32027884569,92660.487112362,-10878.700339414,876.91018178125,895.15957033198,851.53662201762,875.4518531066,896.06939324422,845.03531935156,109529.34815349,3649.4871809202,84691.423416021
100,201.40668518576,3098.9030493423,877.0521506954,896.75506326263,846.97559588412,873.24082249513,-941.42007531556,91580.460258828,-10922.874091113,876.8959229545,895.07617931381,851.51705721405,875.44925165036,895.97725696972,845.02508830174,108444.91398496,3656.7381245334,83574.310902118
101,201.3339608561,3054.4025870182,877.03160603827,896.65286519313,846.95593500104,873.24922178206,-941.47781441758,90517.897265083,-10965.689452927,876.87837502761,894.98976312709,851.49513279527,875.44325636322,895.88225226184,845.01263983563,107377.24161,3663.6254891817,82475.689447777
