id,vel_x,vel_y,x,y,z
1.87,0.30646960788052,0.0047832763857601,1.005,1.87,0
1.88,0.31978000595984,0.0041117097132139,1.005,1.88,0
1.89,0.33330754507,0.0034827633913691,1.005,1.89,0
1.9,0.34704135785206,0.0028996549652922,1.005,1.9,0
1.91,0.36096936820515,0.0023652958739129,1.005,1.91,0
1.92,0.3750783014401,0.0018822333041415,1.005,1.92,0
1.93,0.38935371094767,0.001452589231518,1.005,1.93,0
1.94,0.40378002331836,0.0010779968614165,1.005,1.94,0
1.95,0.41834060384352,0.00075953387119221,1.005,1.95,0
1.96,0.4330178442442,0.00049765374857131,1.005,1.96,0
1.97,0.4477932745814,0.00029212858482357,1.005,1.97,0
1.98,0.46264770215718,0.00014198845059707,1.005,1.98,0
1.99,0.47756137794721,4.5274519155067e-05,1.005,1.99,0
2,0.49251417817281,-1.1446827270306e-06,1.005,2,0
