time,fuel_cP,fuel_k,fuel_temp_avg,fuel_temp_max,fuel_temp_min,heatpipe_surface_temp_avg,hp_heat_integral,mod_temp_avg,mod_temp_max,mod_temp_min,monolith_cP,monolith_k,monolith_temp_avg,monolith_temp_max,monolith_temp_min,power
2,1196.3724175138,35.304005236303,841.02437740859,862.53555530895,814.00253622319,834.5869112473,332922.97333377,840.38540316315,859.91535957915,814.26832288095,1494.5307711492,69.258239408655,838.71570935383,861.38158342821,812.45649949104,345598.10597544
2,1196.3724175139,35.304005236313,841.02437740883,862.53555530957,814.002536223,834.58691124737,332922.97333536,840.38540316318,859.91535957925,814.2683228809,1494.5307711493,69.258239408656,838.71570935392,861.38158342858,812.45649949103,345598.10613449
3,1196.3724086144,35.304006920328,841.0243990971,862.53548694191,814.00232781096,834.58687983955,332922.48698165,840.38544872983,859.91527476091,814.26816317463,1494.5307661877,69.258285661359,838.71567583635,861.38158341072,812.45590050195,345597.80897257
3,1196.3724085934,35.3040069212,841.02439900761,862.5354867936,814.00232779365,834.58687981186,332922.48644254,840.38544871918,859.915274737,814.26816317004,1494.5307661678,69.258285661408,838.71567580012,861.38158331694,812.45590050129,345597.74994154
3,1196.372408594,35.304006921205,841.02439900961,862.53548679804,814.00232779353,834.58687981247,332922.48645494,840.38544871942,859.91527473769,814.26816317001,1494.5307661684,69.258285661408,838.71567580094,861.38158331956,812.45590050129,345597.75126839
3,1196.3724085942,35.30400692122,841.02439900988,862.53548679889,814.00232779324,834.58687981255,332922.48645687,840.38544871945,859.91527473782,814.26816316993,1494.5307661685,69.258285661409,838.71567580105,861.38158332006,812.45590050128,345597.75145698
3,1196.3724085943,35.304006921229,841.02439901016,862.5354867996,814.00232779309,834.58687981263,332922.4864587,840.38544871948,859.91527473793,814.26816316989,1494.5307661686,69.25828566141,838.71567580116,861.38158332048,812.45590050127,345597.75164439
4,1196.3723959294,35.304009000268,841.02442495688,862.53539016434,814.00208395173,834.58684138518,332921.93063861,840.38550739624,859.91516149518,814.26799501165,1494.530757938,69.258335758393,838.71563630137,861.38157478673,812.4552490804,345597.4732882
4,1196.3723959037,35.304009001326,841.02442484744,862.53538998376,814.0020839309,834.58684135134,332921.92997915,840.38550738323,859.91516146604,814.26799500613,1494.5307579137,69.258335758453,838.71563625707,861.38157467247,812.45524907961,345597.40108874
4,1196.3723959043,35.304009001325,841.02442484917,862.53538998754,814.00208393091,834.58684135187,332921.92998983,840.38550738343,859.91516146663,814.26799500613,1494.5307579142,69.258335758453,838.71563625777,861.38157467469,812.45524907961,345597.40223654
4,1196.3723959044,35.304009001335,841.0244248494,862.5353899882,814.00208393073,834.58684135194,332921.92999132,840.38550738346,859.91516146673,814.26799500608,1494.5307579143,69.258335758453,838.71563625786,861.38157467508,812.4552490796,345597.40238761
5,1196.3723800627,35.304011337404,841.02445340937,862.53526999688,814.00181872328,834.58679842821,332921.34489685,840.38557641958,859.91502723532,814.26782833873,1494.5307464606,69.258387007717,838.71559300056,861.38155548976,812.45458359851,345597.13055559
5,1196.3723800345,35.304011338572,841.02445328861,862.53526979884,814.00181870044,834.58679839088,332921.34416917,840.38557640521,859.91502720332,814.26782833268,1494.5307464339,69.258387007782,838.71559295167,861.38155536424,812.45458359764,345597.05087837
5,1196.372380035,35.304011338567,841.02445329016,862.53526980218,814.00181870052,834.58679839135,332921.34417865,840.38557640539,859.91502720383,814.2678283327,1494.5307464344,69.258387007782,838.7155929523,861.3815553662,812.45458359764,345597.05190292
